DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
UBC9_HUMAN_Weile_2017,0.492,0.444,0.545,0.521,0.457,0.505,0.464,0.532,0.051,0.547,0.389
UBE4B_HUMAN_Tsuboyama_2023_3L1X,0.82,0.667,0.709,0.483,0.57,0.518,0.427,0.487,0.102,0.726,0.448
UBE4B_MOUSE_Starita_2013,0.514,0.463,0.351,0.496,0.468,0.357,0.389,0.485,0.209,0.311,0.427
UBR5_HUMAN_Tsuboyama_2023_1I2T,0.729,0.648,0.723,0.395,0.315,0.358,0.447,0.466,0.265,0.742,0.665
VG08_BPP22_Tsuboyama_2023_2GP8,0.84,0.788,0.68,0.265,0.562,0.459,0.468,0.418,0.17,0.725,0.665
VILI_CHICK_Tsuboyama_2023_1YU5,0.809,0.671,0.658,0.595,0.517,0.565,0.411,0.567,-0.026,0.634,0.458
VKOR1_HUMAN_Chiasson_2020_abundance,0.671,0.57,0.617,0.416,0.441,0.503,0.544,0.533,0.011,0.61,0.549
VKOR1_HUMAN_Chiasson_2020_activity,0.425,0.332,0.446,0.413,0.44,0.43,0.413,0.446,0.164,0.37,0.314
VRPI_BPT7_Tsuboyama_2023_2WNM,0.837,0.705,0.614,0.165,0.335,0.229,-0.068,-0.006,0.155,0.633,0.506
YAIA_ECOLI_Tsuboyama_2023_2KVT,0.788,0.576,0.635,0.224,0.25,0.287,0.279,0.324,0.11,0.644,0.385
YAP1_HUMAN_Araya_2012,0.647,0.494,0.505,0.65,0.374,0.018,0.471,0.613,-0.232,0.373,0.358
YNZC_BACSU_Tsuboyama_2023_2JVD,0.791,0.69,0.58,0.211,0.492,0.29,0.259,0.248,0.21,0.681,0.404
