DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
UBC9_HUMAN_Weile_2017,0.596,0.516,0.6,0.531,0.478,0.521,0.477,0.542,0.025,0.545,0.472
UBE4B_HUMAN_Tsuboyama_2023_3L1X,0.851,0.68,0.741,0.488,0.552,0.533,0.429,0.488,0.069,0.727,0.517
UBE4B_MOUSE_Starita_2013,0.504,0.442,0.364,0.465,0.447,0.363,0.39,0.472,-0.003,0.329,0.474
UBR5_HUMAN_Tsuboyama_2023_1I2T,0.722,0.653,0.724,0.379,0.333,0.345,0.442,0.456,0.06,0.709,0.647
VG08_BPP22_Tsuboyama_2023_2GP8,0.844,0.796,0.676,0.238,0.56,0.428,0.461,0.403,0.061,0.663,0.66
VILI_CHICK_Tsuboyama_2023_1YU5,0.815,0.67,0.652,0.588,0.51,0.566,0.409,0.565,-0.036,0.582,0.446
VKOR1_HUMAN_Chiasson_2020_abundance,0.696,0.604,0.667,0.421,0.445,0.505,0.547,0.536,0.003,0.615,0.603
VKOR1_HUMAN_Chiasson_2020_activity,0.445,0.398,0.458,0.409,0.428,0.418,0.403,0.438,0.033,0.375,0.33
VRPI_BPT7_Tsuboyama_2023_2WNM,0.84,0.723,0.596,0.183,0.345,0.225,-0.045,0.009,0.032,0.625,0.505
YAIA_ECOLI_Tsuboyama_2023_2KVT,0.764,0.549,0.654,0.232,0.248,0.293,0.283,0.328,0.057,0.607,0.399
YAP1_HUMAN_Araya_2012,0.683,0.555,0.514,0.648,0.383,0.055,0.476,0.611,0.026,0.473,0.551
YNZC_BACSU_Tsuboyama_2023_2JVD,0.783,0.691,0.525,0.207,0.476,0.28,0.27,0.255,-0.059,0.652,0.382
