DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
UBE4B_HUMAN_Tsuboyama_2023_3L1X,0.285,0.563,0.455,0.778,0.715,0.73,0.858,0.782,1.029,0.476,0.874
UBE4B_MOUSE_Starita_2013,0.775,0.779,0.907,0.822,0.77,0.92,0.877,0.801,1.012,0.903,0.854
UBR5_HUMAN_Tsuboyama_2023_1I2T,0.335,0.423,0.321,0.881,0.895,0.865,0.727,0.745,1.045,0.343,0.417
VG08_BPP22_Tsuboyama_2023_2GP8,0.282,0.332,0.497,0.945,0.716,0.823,0.756,0.816,1.028,0.556,0.564
VILI_CHICK_Tsuboyama_2023_1YU5,0.323,0.526,0.583,0.752,0.722,0.702,0.871,0.741,1.041,0.648,0.809
VKOR1_HUMAN_Chiasson_2020_abundance,0.477,0.637,0.536,0.843,0.822,0.751,0.682,0.707,1.004,0.642,0.633
VKOR1_HUMAN_Chiasson_2020_activity,0.75,0.984,0.782,0.833,0.808,0.823,0.825,0.796,1.018,1.037,1.065
VRPI_BPT7_Tsuboyama_2023_2WNM,0.224,0.415,0.589,0.992,0.855,0.94,1.03,1.029,1.019,0.551,0.702
YAIA_ECOLI_Tsuboyama_2023_2KVT,0.357,0.637,0.562,0.988,0.95,0.954,0.942,0.911,1.025,0.63,0.856
YAP1_HUMAN_Araya_2012,0.583,0.801,0.834,0.741,0.975,1.075,0.895,0.794,1.041,0.934,0.837
YNZC_BACSU_Tsuboyama_2023_2JVD,0.29,0.508,0.713,0.961,0.787,0.931,0.95,0.964,1.076,0.526,0.958
